Astro,Endo,Excitatory L2/3,Excitatory L4,Excitatory L5,Excitatory L6,Inhibitory Other,Inhibitory Pvalb,Inhibitory Sst,Inhibitory Vip,Micro,Neuron Other,Olig,Other,Smc
0.24788107,0.04526474,0.007779784,0.016124712,0.2151854,0.0016898406,0.04335533,0.0040802285,0.18461232,0.056841653,0.011744503,0.047423556,0.03351113,0.0042885942,0.08021712
0.3867886,0.02525463,0.0009144919,0.002887546,0.021121982,0.031293515,0.07004342,0.0060660504,0.085642174,0.024925541,0.021769723,0.1257033,0.17750919,0.0045933826,0.015486397
0.078316815,0.0024566324,0.00039444285,3.7988364e-05,9.653274e-05,0.000106262945,0.050826054,0.0026368804,0.020239498,0.05723392,0.0014376428,0.016205775,0.73956466,0.025878618,0.0045683216
0.03190524,0.0027926913,0.00070499926,4.613669e-05,0.0005906372,0.01122844,0.099291906,0.012202311,0.006524608,0.0071472167,0.00112078,0.08663739,0.6703143,0.0573106,0.012182652
0.0051716683,0.0021694796,0.001359417,0.0031217975,0.08646651,0.32260996,0.013971306,0.0023233672,0.104142025,0.0051946463,0.0010468748,0.08106947,0.1874896,0.074162886,0.10970102
0.00234015,0.0059486986,0.00016194455,0.0056298394,0.027142392,0.61571586,0.0033286212,0.0019747992,0.006771085,0.0066888398,0.0019574019,0.062001552,0.03322886,0.17111105,0.055998906
0.003161007,0.004889885,0.001207306,0.0022079535,0.061228838,0.5172175,0.00602442,0.001737192,0.00553883,0.013246819,0.0015626963,0.10772945,0.01629258,0.011980347,0.24597509
0.0018967042,0.0030962646,0.000117558186,0.0024451695,0.23530607,0.45075515,0.0055024717,0.001612778,0.012489732,0.0055312994,0.0035260613,0.053734727,0.027102707,0.079681955,0.11720134
0.019750364,0.0056330515,5.162746e-05,0.0003605263,0.6267998,0.08064424,0.008515158,0.06097314,0.025815174,0.007851586,0.011758491,0.008183972,0.041755017,0.067551635,0.034356244
0.023380488,0.024152832,9.7844575e-05,0.00093863724,0.8426007,0.0028311675,0.008939256,0.0011998152,0.025486412,0.018921662,0.018357255,0.004035193,0.008417847,0.01315897,0.0074819275
0.025164835,0.050838914,0.0012584747,0.036158364,0.56390166,0.010887239,0.011284934,0.001801066,0.027622264,0.067553505,0.034348987,0.06717331,0.0014177591,0.09384684,0.0067418097
0.007031798,0.16368006,0.06041642,0.43251982,0.049392607,0.00047332005,0.003346657,0.0035414556,0.16591083,0.028769039,0.020656032,0.004136262,0.00019246561,0.055934377,0.003998909
0.0017133948,0.181032,0.0142344935,0.65946966,0.019061694,0.0007262712,0.0013006207,0.008363986,0.024911402,0.00840266,0.008921038,0.0033617946,0.00025586734,0.06288151,0.0053636786
0.0020115883,0.15623769,0.14818364,0.50361127,0.004780818,0.00015557569,0.0016609507,0.008621426,0.022630243,0.006942716,0.0048646433,0.0032921284,0.00082180544,0.13383882,0.0023467045
