"Vip","L5 NP CTX","L4/5 IT CTX","Sst","L5 IT CTX","Lamp5","L2/3 IT CTX-1","L5 PT CTX","L6 CT CTX","L6 IT CTX","L6b CTX"
0.00010946652762808,0.1547502831873,1.00972379668018e-11,0.171497404724027,0.000734828852055681,0.0108985594630893,7.08542267840724e-28,2.77187871541131e-28,0.398714246995906,0.179873849921547,0.0834213603183493
0.00885214583435588,0.12185343453355,0.0599503278224544,0.054614976528411,0.0298967794703,4.17387153780168e-08,0.000126684909165069,1.66264097019211e-06,0.40572375161045,0.244043602991592,0.0749365919200366
0.00127563524209631,0.147103288090705,4.05895535246857e-05,0.0912866440581131,0.0222708432030119,3.33220567071591e-07,4.53101337426423e-24,1.63763862734947e-22,0.431324475300033,0.216592899455101,0.0901052918768474
5.20357556651178e-14,0.150241360352402,0.0271387394906289,0.0481753118703245,0.0262049497031009,1.42617338879758e-09,5.3475124166657e-10,5.62480852286511e-09,0.443522457486339,0.209714721448969,0.0950024520624506
0.0109043548180086,0.124327466445221,2.19023778566844e-13,0.106655837362846,0.00958571463779122,0.00302888680934789,9.07939358430845e-18,4.82149694577865e-16,0.431873075359264,0.224349567262669,0.0892750973046329
0.00470542647570214,0.103567418373143,1.45968616178833e-19,0.298908001570938,6.55115600272177e-05,0.0128688921587788,6.79976884097473e-33,9.05152601242841e-36,0.354837074671044,0.149896804691352,0.0751508704990147
0.00694023776211536,0.0894599537851045,0.0155970865632612,0.0585303727286314,0.0207635081480542,0.00347690448538353,0.00395261745456643,0.00394134860347676,0.524215374039219,0.178899404473289,0.0942231919568984
0.00602348324831982,0.0828058233678891,0.0293021329635872,0.0419503604799471,0.0214036050893522,0.0121993109592091,0.0198724557430939,0.00649047196196973,0.506631007695687,0.184911356440778,0.0884099920501669
0.00336530819798173,0.0894052394407279,0.0407657657459377,0.0723440999494085,0.0157306896197214,0.0629626771385436,0.0356888861053937,0.00758183501591876,0.40823845187646,0.187156074796774,0.0767609721131325
0.000136873908857362,0.0966823120719319,0.0459256782617299,0.0736208525056016,0.0244480968046014,0.061065376023136,0.0114207070365256,0.00151931966005969,0.394023209437259,0.215618887031609,0.0755386872586883
0.00109732573796345,0.10452487740393,0.0515880909093291,0.11610958072899,0.0301264948012897,0.0634817222864439,0.000179954203039033,8.5288178265061e-06,0.336222549395396,0.2316977939708,0.0649630817449918
2.07832430277088e-08,0.0913417025138186,0.0365251683118853,0.0274993536000048,0.0159872738816391,0.0675051582990544,0.172538184800694,0.0715148911494688,0.279754261332617,0.172434852453756,0.0648991328738192
4.48300238248403e-14,0.0847635500169172,0.0367403372117365,8.79311438253346e-05,0.0151658804180034,0.0168572781049989,0.25641717059936,0.127318218189689,0.245627798330522,0.155744181003498,0.0612776549814054
0.0076239095034986,0.120685814776849,3.89099066980256e-14,0.361459380958453,0.000165547241144167,0.114645258009606,1.43123730468115e-34,5.37184987164351e-39,0.20381233738551,0.142976552480887,0.0486311996440136
0.00732538270212006,0.127766310434828,0.00163227236959881,0.146828683331191,0.0468337349339901,0.0940656383035959,1.29131423412191e-07,3.64362631726764e-08,0.251308359237029,0.259020715884278,0.0652187372356836
