L2/3 IT CTX-1,L4/5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
1.8513345e-05,0.03166521,0.021129135,0.85477424,0.0009437549,6.1594954e-05,5.270619e-05,0.0029173535,0.0036535705,0.018005928,0.06677806
0.0013553032,0.0012677537,0.05201029,0.38387102,0.049891103,0.0071642892,0.01959565,0.26372385,0.0014924097,0.17264749,0.046980847
0.00047320913,0.002145282,0.023993377,0.8780993,0.00097615493,6.3672624e-06,0.002335715,0.000334304,0.010940899,0.038192086,0.042503297
0.00019008861,0.01710162,0.018904215,0.8883711,0.0058797724,7.847208e-06,5.2524912e-05,0.0008408327,0.0012196572,0.006466176,0.060966156
0.00043259584,0.0026957619,0.0072062584,0.8019333,0.039928284,0.0005080652,6.308248e-05,0.073336236,0.0020358488,0.0056706816,0.06618985
0.00066564896,3.4249253e-05,0.00028526157,0.017797574,0.017208882,0.019047325,0.00030422022,0.851773,0.026739668,0.011096835,0.055047277
0.00019031702,3.1616507e-06,3.270037e-05,0.00045244576,0.0012969645,0.08544863,0.0022561634,0.41169655,0.0049857646,0.46019673,0.033440653
0.00015675774,5.5089477e-06,7.8312834e-05,5.7200345e-05,0.00015925121,0.5664475,0.07748239,0.29246044,0.0010004217,0.05555826,0.006593991
0.028912991,1.31655715e-05,0.00017825328,3.5092115e-05,0.0015932329,0.7014967,0.059701115,0.11824671,0.018706575,0.02442984,0.04668645
0.0002914373,0.00017085637,0.0021654498,0.00029627554,0.00020219474,0.72513247,0.07052273,0.06814031,0.012057705,0.112847924,0.008172642
0.0017056637,9.871851e-05,0.056471147,0.00808648,0.008974034,0.34897795,0.32084346,0.09605156,0.14742579,0.008534437,0.0028308434
0.12975496,0.035489973,0.051501676,0.018684203,0.0075334925,0.10699553,0.34427524,0.06277884,0.23032698,0.011232486,0.0014266195
0.013901768,1.323819e-05,0.118453346,0.06440707,0.07406877,0.021932583,0.42790362,0.059085477,0.20141023,0.018180875,0.00064303336
